title,author,is_loaned,copies,genre,year
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960
1984,George Orwell,Yes,5,Dystopian,1949
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877
The Iliad,Homer,Yes,1,Epic Poetry,-750
Invisible Man,Ralph Ellison,Yes,9,Fiction,1952
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006
The Odyssey,Homer,Yes,2,Epic Poetry,-800
bbb,ggg,Yes,4,Fiction,1990
